Year ,District,PPM
2018,Madurai,12.7
2018,Madurai,65.6
2018,Madurai,8.5
2018,Madurai,7.4
2018,Madurai,25.4
2018,Madurai,52.9
2018,Madurai,0.0
2018,Madurai,13.8
2018,Madurai,0.0
2018,Madurai,51.8
2018,Madurai,42.3
2018,Madurai,0.0
2018,Madurai,65.6
2018,Madurai,7.4
2018,Madurai,0.0
2018,Madurai,3.2
2018,Madurai,0.0
2018,Madurai,8.5
2018,Nagapattinam,41.3
2018,Nagapattinam,79.4
2018,Nagapattinam,50.8
2018,Nagapattinam,21.2
2018,Nagapattinam,48.7
2018,Nagapattinam,57.1
2018,Nagapattinam,21.2
2018,Nagapattinam,22.2
2018,Nagapattinam,25.4
2018,Nagapattinam,18.0
2018,Nagapattinam,22.2
2018,Nagapattinam,21.2
2018,Nagapattinam,42.3
2018,Nagapattinam,32.8
2018,Nagapattinam,0.0
2018,Nagapattinam,6.3
2018,Nagapattinam,0.0
2018,Nagapattinam,28.6
2018,Nagapattinam,0.0
2018,Nagapattinam,28.6
2018,Nagapattinam,5.3
2018,Nagapattinam,42.3
2018,Namakkal,34.9
2018,Namakkal,33.9
2018,Namakkal,26.5
2018,Namakkal,38.1
2018,Namakkal,4.2
2018,Namakkal,31.7
2018,Namakkal,31.7
2018,Namakkal,23.3
2018,Namakkal,30.7
2018,Namakkal,22.2
2018,Namakkal,60.3
2018,Namakkal,33.9
2018,Namakkal,36.0
2018,Namakkal,23.3
2018,Namakkal,27.5
2018,Namakkal,26.5
2018,Namakkal,25.4
2018,Namakkal,34.9
2018,Namakkal,26.5
2018,Namakkal,30.7
2018,Namakkal,87.8
2018,Namakkal,5.3
2018,Namakkal,33.9
2018,Namakkal,43.4
2018,Namakkal,56.1
2018,Namakkal,15.9
2018,Namakkal,34.9
2018,Namakkal,34.9
2018,Namakkal,22.2
2018,Namakkal,24.3
2018,Namakkal,33.9
2018,Namakkal,50.8
2018,Namakkal,29.6
2018,Namakkal,6.3
2018,Namakkal,4.2
2018,Namakkal,29.6
2018,Namakkal,24.3
2018,Namakkal,48.7
2018,Namakkal,10.6
2018,Namakkal,0.0
2018,Namakkal,33.9
2018,Namakkal,23.3
2018,Namakkal,25.4
2018,Namakkal,34.9
