Salt Type,Brand,PPM
Crystal,tru,22.2
Crystal,Thanga Thai,0.0
Crystal,priyam,38.1
Refined,Kristal,39.1
Crystal,MS,0.0
Crystal,BAEELY,0.0
Refined, New VVD Piriyam,42.3
Crystal,Sathya,0.0
Refined,Sea gold,15.9
Refined,Kristal,33.9
Refined,tata,41.3
Refined,suriya,38.1
Refined,tata,33.9
Refined,Kavin,21.2
Crystal,Kavin,23.3
Refined,Thilak,26.5
Refined,I flo,19.0
Refined,Aditya,27.5
Refined,Annapurana,23.3
Crystal,priyam,27.5
Refined,season,30.7
Crystal,SMT,30.7
Refined,tata,22.2
Crystal,Annapakiya,7.4
Crystal,Arasu,33.9
Crystal,tata,15.9
Refined,tata,34.9
Crystal,Sowmiya,21.2
Refined,murugan,0.0
Crystal,Ayagaran,15.9
Refined,Sowmiya,32.8
Crystal,Sowmiya,37.0
Crystal,MS,0.0
Crystal,Aditya,39.1
Refined,tata,34.9
Crystal,SS,31.7
Crystal,Tiru,20.1
Crystal,Aditya,43.4
Crystal,GKT,5.3
Powder,Arasu,0.0
Crystal,Arasu,0.0
Crystal,Leaf,26.5
Refined,Kristal,8.5
Refined,Asirvad,6.3
Refined,subam,6.3
Crystal,annapoorna,30.7
Refined,I salt,40.2
Refined,tata,41.3
Refined,tata,41.3
Refined,Asirvad,34.9
Refined,Kristal,42.3
Crystal,Kristal,9.5
Crystal,tata,11.6
Crystal,Asirvad,10.6
Crystal,tiru,6.3
Refined,Kristal,44.4
Refined,famous,12.7
Refined,Kristal,27.5
Crystal,tiru,0.0
Refined,I sakthi,42.3
Refined,Sprinkle,38.1
Crystal,Idyam,7.4
Refined,NCS,36.0
Refined,Arun,10.6
Refined,NS,7.4
Refined,I sakthi,13.8
Crystal,Arun,9.5
Refined,Tata,31.7
Refined,tata,33.9
Refined,tata,36.0
Refined,tata,32.8
Refined,JEEVAN,28.6
Refined,tata,28.6
Crystal,samutra,19.0
Crystal,murugan,20.1
Crystal,murugan,16.9
Crystal,murugan,12.7
Crystal,murugan,15.9
Crystal,murugan,14.8
Refined,Sudha,21.2
Refined,Anil,19.0
Crystal,Anil,18.0
Crystal,Sun gold,37.0
Refined,Sprinkle,29.6
Crystal,SRS,8.5
Refined,annapoorna,29.6
Refined,tata,31.7
Crystal,Lotas,6.3
Refined,Kristal,30.7
Refined,Kristal,31.7
Crystal,Lakshimi,0.0
Refined,Asirvad,65.6
Refined,sudha,28.6
Crystal,Kristal,11.6
Refined,Kristal,30.7
Crystal,Kristal,42.3
Crystal,priyam,29.6
Crystal,SS,88.9
Refined,Aditya,28.6
Refined,Asirvad,44.4
Refined,Aditya,49.7
Crystal,SS,22.2
Refined,annapoorna,26.5
Crystal,Sowmiya,25.4
Refined,Asirvad,54.0
Refined,Annapurana,34.9
Crystal,Sowmiya,31.7
Refined,Asirvad,56.1
Crystal,Sowmiya,14.8
Refined,anil,36.0
Crystal,JBR,3.2
Crystal,Sowmiya,37.0
Crystal,JBR,8.5
Refined,MSP,38.1
Crystal,JBR,43.4
Crystal,anil,39.1
Refined,aykarana,22.2
Refined,tiru,88.9
Refined,anil,33.9
Refined,tata,31.7
Refined,priyam,11.6
Crystal,Super Hero,31.7
Crystal,Samthi,7.4
Crystal,Saravama,27.5
Refined,sakthi,8.5
Crystal,King,29.6
Refined,Sakthi,2.1
Refined,David,44.4
Crystal,sudha,71.9
Crystal,SRS,70.9
Refined,tata,36.0
Refined,sudha,22.2
Refined,Kristal,32.8
Refined,anil,40.2
Crystal,O fresh,23.3
Refined,Sprinkle,31.7
Refined,tata,46.6
Refined,I sakthi,20.1
Crystal,tata,27.5
Crystal,shubha,30.7
Refined,tata,36.0
Refined,tata,41.3
Crystal,shubha,19.0
Refined,I sakthi,28.6
Crystal,GST,11.6
Refined,Asoka,14.8
Crystal,murugan,0.0
Refined,Maragatham,12.7
Crystal,Marina,0.0
Crystal,Tiru,0.0
Refined,Devipoorana,10.6
Refined,Sprinkle,20.1
Refined,happy,36.0
Refined,tata,26.5
Crystal,SERMA,0.0
Refined,Chitra,0.0
Refined,GEEGE,18.0
Refined,tata,34.9
Refined,fress,44.4
Crystal,Kayatri,24.3
Crystal,Sri  Murugan,25.4
Refined,ESCEE,34.9
Refined,Sri Murugan,21.2
Crystal,SSV,20.1
Refined,samutra,30.7
Crystal,Sri Murugan,13.8
Crystal,Sri Murugan,36.0
Refined,Sowmiya,55.0
Crystal,sea son,26.5
Refined,tata,41.3
Refined,solar,39.1
Refined,aanandham,19.0
Crystal,tru,21.2
Refined,I sakthi,37.0
Crystal,Arasu,5.3
Refined,tata,39.1
Refined,Kristal,28.6
Refined,anna,4.2
Refined,Idayam,7.4
Refined,amma,6.3
Refined,Kristal,39.1
Refined,Marvel,28.6
Crystal,Thanga Thai,4.2
Refined,Sudha Gold,27.5
Refined,Ravi,21.2
Refined,Sudha,36.0
Refined,Sprinkle,51.8
Crystal,SKS,38.1
Refined,Anil,47.6
Refined,Anil,44.4
Refined,Anil,43.4
Refined,anil,26.5
Refined,Asirvad,48.7
Crystal,Saravama,30.7
Crystal,SRS,13.8
Crystal,Arasu,13.8
Refined,Sprinkle,47.6
Crystal,Serma,14.8
Crystal,tata,33.9
Crystal,Kristal,38.1
Crystal,vasavi,5.3
Crystal,JBR,23.3
Crystal,vks,27.5
Crystal,tata,0.0
Refined,Kristal,13.8
Crystal,Arasu,10.6
Crystal,Arasu,0.0
Crystal,tata,0.0
Crystal,VKS iO Fresh,33.9
Crystal,sea son,36.0
Crystal,VKS,28.6
Crystal,Sprinkle,27.5
Crystal,sudha,55.0
Crystal,Sprinkle,39.1
Refined,Annapoorani,31.7
Refined,Annapoorana,36.0
Crystal,priyam,19.0
Crystal,Annapurani,11.6
Refined,Raja,0.0
Crystal,KALKI,0.0
Crystal,AYYA,0.0
Refined,Arasu,93.1
Refined,VVD,0.0
Refined,Nila,31.7
Refined,Kristal,60.3
Refined,tata,16.9
Crystal,Marina,18.0
Refined,Asirvad,32.8
Refined,Ashoka,23.3
Crystal,Baby,4.2
Crystal,tata,40.2
Refined,tata,71.9
Crystal,tru,29.6
Refined,annapurana,25.4
Crystal,GEE GEE,4.2
Crystal,VASP,54.0
Refined,I flo,41.3
Refined,I sakthi,5.3
Refined,Kristal,16.9
Crystal,Sprinkle,29.6
Refined,Sprinkle,32.8
Crystal,Kristal,29.6
Refined,tata,30.7
Crystal,Kasthri,14.8
Refined,tata,33.9
Crystal,Aygaran,10.6
Crystal,Susee,6.3
Refined,tata,34.9
Crystal,tata,29.6
Crystal,KMJS,10.6
Refined,Asirvad,47.6
Refined,Saravama,26.5
Crystal,Roobini,0.0
Refined,Balagi,9.5
Crystal,Anil,37.0
Refined,Sudha,18.0
Crystal,sudha,8.5
Refined,Asirvad,50.8
Crystal,xcell,0.0
Crystal,Kristal,39.1
Refined,susee,25.4
Refined,Asirvad,44.4
Refined,surya,22.2
Crystal,Sprinkle,31.7
Crystal,Susee,12.7
Crystal,Arasu,7.4
Crystal,Arasu,69.8
Refined,Asirvad,45.5
Refined,Asirvad,28.6
Crystal,Arasu,59.2
Crystal,ESCEE,22.2
Refined,Subam,40.2
Crystal,Priyam,46.6
Crystal,JBR,6.3
Refined,tata,33.9
Crystal,Vinayaga,0.0
Refined,tata,32.8
Crystal,ESCEE,26.5
Crystal,Ayngaran,0.0
Refined,ESCEE,27.5
Refined,tata,38.1
Crystal,Mina,23.3
Crystal,Sri ram,0.0
Crystal,Sapan,44.4
Refined,Sathivel,47.6
Refined,Priyam,10.6
Refined,Winner,24.3
Refined,Winner,33.9
Refined,Anil,32.8
Refined,Winner,30.7
Refined,Priyam,31.7
Refined,I sakthi,28.6
Crystal,Reshi,0.0
Refined,Muthu,26.5
Crystal,Ganga,22.2
Crystal,Yart,20.1
Refined,ESCEE,31.7
Crystal,tata,33.9
Crystal,ESCEE,36.0
Crystal,Rich,0.0
Refined,Sudha,27.5
Crystal,Sprinkle,29.6
Crystal,Beem,0.0
Refined,Jeevan,38.1
Crystal,MSP,51.8
Crystal,Rishi,0.0
Crystal,ESCEE,34.9
Crystal,ESCEE,37.0
Refined,Happy,47.6
Refined,Happy,44.4
Refined,I flo,20.1
Refined,Asirvad,57.1
Crystal,Murugan,36.0
Crystal,Murugan,29.6
Refined,Amudham,26.5
Refined,I flo,29.6
Crystal,sea gold,0.0
Refined,Anil,24.3
Refined,MSSM,0.0
Powder,Amman,6.3
Crystal,MAS,8.5
Refined,Annalakshimi,25.4
Refined,tata,43.4
Crystal,PALANIMURUGAN,0.0
Refined,tata,43.4
Crystal,STAR,16.9
Crystal,SAGAR,0.0
Crystal,Saravama,30.7
Refined,Saravama,26.5
Refined,Kristal,31.7
Crystal,Saravama,26.5
Refined,Asirvad,49.7
Refined,Kristal,43.4
Refined,Asirvad,58.2
Crystal,Sri murugan,16.9
Refined,anil,40.2
Refined,samutra,25.4
Refined,samutra,13.8
Crystal,Sri murugan,16.9
Refined,Sathiyam,31.7
Refined,samutra,27.5
Refined,Sprinkle,51.8
Crystal,Lakshimi,0.0
Refined,I sakthi,33.9
Refined,Tata,29.6
Crystal,Kasturi,3.2
Crystal,Kasturi,7.4
Refined,Asirvad,44.4
Crystal,Lakshimi,0.0
Crystal,MERCY,0.0
Crystal,MERCY,0.0
Refined,I Gold,37.0
Refined,tata,38.1
Refined,sea gold,32.8
Crystal,annapurana,36.0
Crystal,rajapurna,22.2
Crystal,Aditya,26.5
Refined,tata,37.0
Refined,Saravama,26.5
Crystal,deva,39.1
Crystal,KSPS,11.6
Rock Salt,Farmer Himalayan Rock Salt,0.0
Refined,Saravama,27.5
Crystal,Muthu,1.1
Refined,Day,32.8
Refined,O fresh,33.9
Refined,sun pure,10.6
Refined,Ganga,21.2
Crystal,grace,5.3
Refined,Sivam,26.5
Refined,thambu,0.0
Crystal,Mathan,0.0
Crystal,Gayal,15.9
Refined,Annapoorna,30.7
Refined,Sathiyam,25.4
Crystal,Sathiyam,14.8
Refined,Kristal,20.1
Refined,Sathiyam,21.2
Crystal,Sprinkle,32.8
Crystal,senthil,2.1
Refined,tru,32.8
Crystal,MS,5.3
Crystal,Maina,13.8
Refined,Sprinkle,45.5
Refined,Xcell,0.0
Crystal,Aditya,33.9
Refined,SLS,24.3
Crystal,Sprinkle,46.6
Refined,Asoka,9.5
Crystal,Arun ,0.0
Refined,Super star,0.0
Crystal,tru,27.5
Crystal,shanmuga,11.6
Crystal,Maina,18.0
Refined,priyam,44.4
Refined,Sprinkle,44.4
Crystal,Kristal,0.0
Refined,ganga,25.4
Refined,priyam,39.1
Crystal,Asirvad,57.1
Refined,Kristal,38.1
Crystal,Amman,0.0
Refined,Sprinkle,24.3
Crystal,Sprinkle,39.1
Crystal,Kasturi,22.2
Refined,Anil,52.9
Refined,Mahilchi,0.0
Refined,Asirvad,30.7
Refined,Sprinkle,42.3
Crystal,Anil,22.2
Refined,Anil,43.4
Refined,annapurana,42.3
Refined,SaravaNa,20.1
Crystal,Day,15.9
Crystal,Thanga thai,0.0
Refined,Marvel,51.8
Crystal,Raja,0.0
Crystal,Roobini,0.0
Crystal,priyam,22.2
Crystal,Anna Lakshimi,25.4
Refined,Kristal,34.9
Crystal,priyam,59.2
Refined,Saravama,25.4
Refined,Kristal,38.1
Crystal,Sprinkle,16.9
Refined,Saravama,14.8
Crystal,sakthi,10.6
Crystal,Kristal,37.0
Refined,Sprinkle,30.7
Refined,Kristal,26.5
Refined,Saravama,14.8
Crystal,sakthi,10.6
Refined,sudha,24.3
Crystal,Sprinkle,19.0
Refined,Kristal,33.9
Refined,tata,32.8
Crystal,I-Gold,5.3
Refined,tata,29.6
Crystal,samutra,26.5
Refined,samutra,24.3
Crystal,Sprinkle,25.4
Refined,Asirvad,14.8
Refined,Asirvad,46.6
Crystal,Ganesh,0.0
Crystal,Kasthri,0.0
Refined,Thanga thai,29.6
Crystal,Kristal,11.6
Refined,tata,28.6
Refined,SLS,19.0
Refined,Marvel,44.4
Refined,shanmuga,9.5
Crystal,KSPS,11.6
Refined,tru,38.1
Refined,Anna,36.0
Crystal,Kristal,42.3
Refined,Kristal,33.9
Refined,annapurana,43.4
Crystal,Nanayam,20.1
Crystal,Murugan,14.8
Refined,Saravama,22.2
Crystal,priyam,29.6
Crystal,Marvel,23.3
Crystal,SERMA,6.3
Crystal,Sri sakthi,34.9
Crystal,tata,26.5
Refined,tata,47.6
Crystal,SLS,21.2
Refined,tata,42.3
Crystal,tata,14.8
Refined,tata,31.7
Refined,tata,40.2
Refined,Asirvad,43.4
Crystal,tata,23.3
Refined,tata,21.2
Crystal,Rayal,0.0
Refined,Asirvad,60.3
Refined,Saravama,23.3
Crystal,Anil,21.2
Refined,susee,22.2
Refined,Kristal,43.4
Refined,tata,32.8
Crystal,susee,7.4
Refined,Kristal,32.8
Crystal,tata,29.6
Refined,David,24.3
Refined,shanmuga,25.4
Crystal,David,16.9
Refined,gayatiri,21.2
Crystal,Kristal,29.6
Crystal,Sprinkle,40.2
Crystal,Kristal,38.1
Crystal,kasthuri,5.3
Crystal,tata,33.9
Crystal,Sprinkle,5.3
Crystal,GAS,34.9
Crystal,risi,0.0
Refined,ESCEE,37.2
Refined,Sea gold,20.1
Crystal,Mercy,0.0
Refined,I sakthi,23.3
Crystal,Subam,23.3
Refined,Tru,27.5
Refined,tata,32.8
Refined,Subam,19.0
Crystal,David,0.0
Crystal,ESCEE,26.5
Refined,Sudha,16.9
Crystal,Sudha,24.3
Crystal,David,52.9
Crystal,ESCEE,32.8
Crystal,I flo,32.8
Refined,Sea son,25.4
Refined,I flo,9.5
Refined,ESCEE,32.8
Crystal,tata,19.0
Refined,I sakthi,21.2
Refined,Saravama,28.6
Refined,annapurana,42.3
Crystal,tata,38.1
Refined,I sakthi,28.6
Crystal,kasthuri,0.0
Refined,Asirvad,52.9
Refined,Kristal,41.3
Crystal,Mercy,0.0
Refined,Sudha,36.0
Powder,Mahilchi,0.0
Crystal,Arasu,22.2
Refined,JL,12.7
Refined,Asirvad,37.0
Crystal,Sri Naran,0.0
Crystal,Arasu,0.0
Crystal,Saravama,27.5
Crystal,Sprinkle,28.6
Refined,Kristal,28.6
Refined,Kristal,29.6
Powder,Arasu,18.0
Refined,Kristal,20.1
Refined,Kristal,47.6
Crystal,surya,26.5
Refined,I sakthi,24.3
Refined,surya,18.0
Refined,tata,33.9
Refined,Sprinkle,34.9
Refined,tata,27.5
Crystal,marina,31.7
Crystal,tata,20.1
Refined,Uma,0.0
Refined,Priyam,33.9
Refined,Happy,28.6
Refined,Leaf,32.8
Refined,Leaf,31.7
Crystal,Ayngaran,14.8
Refined,Ayngaran,47.6
Refined,sunpure,23.3
Refined,tru,27.5
Crystal,gayatiri,7.4
Crystal,I flo,12.7
Crystal,Senthil,0.0
Crystal,MST,19.0
Crystal,Roobini,0.0
Crystal,Swastik,4.2
Refined,New Ariyam,31.7
Crystal,Satiyam,26.5
Crystal,Narmada,0.0
Crystal,Narmada,0.0
Refined,I sakthi,29.6
Crystal,shoba,41.3
Crystal,Garudan,27.5
Crystal,shoba,40.2
Crystal,Narmada,0.0
Crystal,KS,0.0
Refined,Saravama,22.2
Refined,I flo,22.2
Crystal,Ganga,20.1
Refined,Asirvad,37.0
Refined,I flo,21.2
Crystal,annapurana,3.2
Refined,tata,38.1
Refined,Kristal,33.9
Crystal,Kristal,28.6
Refined,Ayngaran,10.6
Refined,Kristal,25.4
Crystal,ayangar,86.8
Refined,tata,40.2
Refined,jeevan,0.0
Crystal,I flo,29.6
Refined,Saravama,25.4
Refined,aditya,29.6
Crystal,Saravama,22.2
Refined,ayangarn,25.4
Refined,aditya,31.7
Crystal,MSP,77.2
Refined,tata,33.9
Refined,aditya,31.7
Crystal,O fresh,18.0
Refined,I gold,10.6
Refined,I flo,20.1
Crystal,Priyam,48.7
Refined,Asirvad,49.7
Refined,Priyam,26.5
Crystal,Ayngaran,10.6
Refined,tata,33.9
Refined,Priyam,33.9
Crystal,annapurana,0.0
Refined,season,29.6
Refined,jeevan,28.6
Crystal,MSP Gold,21.2
Refined,KLP,39.1
Refined,jeevan,10.6
Crystal,MSP,30.7
Refined,tata,40.2
Refined,pru,28.6
Crystal,aditya,38.1
Refined,tata,33.9
Refined,anadhapurana,37.0
Crystal,anadhapurana,45.5
Refined,tata,36.0
Refined,anadhapurana,25.4
Crystal,Sevan Star,1.1
Refined,tata,29.6
Refined,Priyam,33.9
Crystal,diamond,8.5
Refined,tata,32.8
Refined,I flo,30.7
Crystal,O fresh,18.0
Refined,tata,38.1
Refined,Priyam,29.6
Crystal,Kristal,33.9
Refined,tata,38.1
Refined,I flo,15.9
Refined,Sudha,33.9
Refined,Sprinkle,54.0
Crystal,Sundar,14.8
Refined,Sprinkle,13.8
Crystal,Sundar,14.8
Refined,tata,33.9
Crystal,Apple,0.0
Refined,Anil,29.6
Crystal,Aashirvaad,28.6
Refined,Anil,21.2
Crystal,Samy,0.0
Crystal,Thanga thai,0.0
Refined,MSP ,30.7
Refined,Jaya,27.5
Crystal,OK ,0.0
Refined,TRISAKKTHI ,13.8
Crystal,TRUSALT,30.7
Crystal,New Star,0.0
Crystal,MITHRA,24.3
Refined,TATA,39.1
Crystal,MITHRA,20.1
Refined,TATA,37.0
Crystal,MITHRA,18.0
Refined,TATA,41.3
Crystal,Sudha Gold,14.8
Refined,I-Shakti,42.3
Refined,Susee ,34.9
Crystal,Abishek,37.0
Crystal,TATA,26.5
Refined,Bala Murugam,38.1
Refined,TATA,33.9
Refined,JBR,25.4
Refined,VINAYAGA,25.4
Crystal,JBR,9.5
Refined,ESCEE,31.7
Refined,IYANGARAN,29.6
Crystal,JBR,6.3
Refined,KRISTAL,30.7
Crystal,NRR,7.4
Crystal,KRISTAL,23.3
Crystal,KRISTAL,18.0
Crystal,KAYATHIRI,6.3
Crystal,KAYATHRI,9.5
Refined,PRIYAM,21.2
Refined,SUN ,11.6
Crystal,SOWMIYA,21.2
Powder,SOWMIYA,16.9
Refined,Diamond,21.2
Refined,NEW ESCEE KRISTAL,39.1
Refined,PRIYAM,29.6
Crystal,NEW ESCEE KRISTAL,71.9
Crystal,NEW ESCEE KRISTAL,42.3
Crystal,SOWMIYA,30.7
Crystal,SOWMIYA,33.9
Refined,KRISTAL,36.0
Crystal,PRIYAM,39.1
Crystal,AYNGARAN,9.5
Refined,KRISTAL,31.7
Refined,GANGA,32.8
Crystal,MS ,0.0
Powder,MS,0.0
Crystal,MSP GOLD,12.7
Crystal,BHEEM ,34.9
Refined,ANIL,41.3
Refined,TATA,29.6
Crystal,MSP,26.5
Crystal,TATA,29.6
Crystal,NRR,12.7
Refined,KRISTAL,34.9
Crystal,NRR,18.0
Crystal,SUN,11.6
Crystal,RAJAN,13.8
Crystal,MSP,6.3
Refined,SAKTHI,45.5
Crystal,SARAVANA,22.2
Crystal,RISEE,0.0
Crystal,VKS TRUE,27.5
Crystal,NEW ECSEE KRYSTAL,36.0
Refined,VEPPALODAI CHEMICALS,31.7
Crystal,Rishi,0.0
Crystal,NUTURAL SEA,9.5
Refined,SPRINKLY,38.1
Refined,SPRINKLY,40.2
Crystal,LAKSHMI,0.0
Crystal,KRISTAL,27.5
Refined,ANIL,25.4
Crystal,ANIL,28.6
Refined,MARINA,23.3
Refined,ANNA,28.6
Crystal,ARUN,8.5
Refined,ARUN,48.7
Crystal,Rishi,0.0
Crystal,KSPS,23.3
Refined,KRISTAL,37.0
Crystal,ANNA,49.7
Crystal,Idhayam,0.0
Crystal,GAYATHRI,7.4
Crystal,ESCEE KRISTAL,34.9
Refined,SURYA GOLD,26.5
Crystal,ANIL,18.0
Refined,ANIL,25.4
Crystal,SSL,0.0
Crystal,LAKSHMI,0.0
Refined,SUBAN,0.0
Crystal,ARUN,0.0
Refined,TRU ,32.8
Crystal,Idhayam,0.0
Crystal,LAKSHMI,0.0
Crystal,Idhayam,0.0
Refined,SLS,0.0
Refined,PIRIYAM,43.4
Refined,KRISTAL,29.6
Refined,TATA,41.3
Refined,TRUE,30.7
Crystal,KRISTAL,30.7
Crystal,TRUE,23.3
Refined,TRUE,31.7
Crystal,LAKSHMI,0.0
Crystal,THANGAM ,0.0
Crystal,YART,22.2
Crystal,ANNA,28.6
Refined,I-SAKTHI,21.2
Refined,AASHIRVAAD,46.6
Refined,YART,37.0
Crystal,GANGA,27.5
Crystal,YART,30.7
Crystal,SEA SUN,13.8
Powder,ANNA,28.6
Crystal,I CARE,18.0
Crystal,RAJA,0.0
Refined,PAPA,30.7
Crystal,GANGA,23.3
Powder,SANGU,11.6
Powder,MUTHU,28.6
Crystal,SUSEE,20.1
Refined,ANNA,10.6
Refined,I SAKTHI,24.3
Crystal,MAINA,28.6
Refined,TRUSALT,27.5
Refined,AMMU,26.5
Refined,NEW WINNERS,25.4
Crystal,MVS MAINA,27.5
Refined,VKS SALT,10.6
Refined,TRU,38.1
Refined,AMMU,23.3
Crystal,AMMU,0.0
Refined,NEW WINNER,29.6
Crystal,ANIL,40.2
Refined,TATA,40.2
Refined,TIRU,24.3
Refined,SPRINKLE,47.6
Crystal,GG,9.5
Crystal,KASTHURI,9.5
Refined,MARINA,11.6
Crystal,PRIYAM,43.4
Crystal,ANIL,34.9
Crystal,NCS,24.3
Crystal,SUSEE,11.6
Refined,VKS,31.7
Refined,SPRINKLE,49.7
Refined,DAY,13.8
Crystal,ANNA,16.9
Refined,TRUE,16.9
Refined,TATA,32.8
Refined,ANNA,6.3
Crystal,KRISTAL,32.8
Crystal,TATA,38.1
Refined,TATA,32.8
Crystal,SUDHA,11.6
Refined,AASHIRVAAD,60.3
Crystal,SELVAPURNA,0.0
Crystal,TATA,52.9
Crystal,MATHAN,12.7
Refined,I SAKTHI,29.6
Refined,BRINJAL,15.9
Crystal,CHAKRA,24.3
Crystal,SAMUTHRA,0.0
Refined,SARAVANA,20.1
Crystal,TATA,33.9
Refined,KRISTAL,34.9
Refined,RAJAN,27.5
Refined,AASHIRVAAD,29.6
Crystal,VINAYAGA,0.0
Refined,GANGA,34.9
Refined,PIRIYAM,29.6
Refined,I SAKTHI,29.6
Crystal,NARMATHA,0.0
Crystal,SUBA,29.6
Crystal,ANNAPOORNA,33.9
Crystal,TRY SALT,20.1
Crystal,SAKTHI,13.8
Refined,IFLO,20.1
Refined,SPRINKLE,31.7
Crystal,VALAVEN,12.7
Crystal,BLESSING,0.0
Refined,GAYATHRI,15.9
Crystal,ORANGE,0.0
Refined,IYYANGARAN,16.9
Crystal,ROYAL GOLD,0.0
Crystal,KTM,0.0
Refined,NIRMA SHUDH ,34.9
Crystal,ASHOKA GOLD,23.3
Refined,PATANJALI,29.6
Crystal,AMRUTHA,10.6
Refined,HEALTHY COOK,26.5
Crystal,ASP,0.0
Refined,BRINJAL,28.6
Crystal,THANDI,0.0
Refined,SURYA,37.0
Refined,MARINA,30.7
Crystal,PK ,39.1
Refined,SHASHI,36.0
Refined,SURYA,15.9
Refined,TATA,33.9
Refined,TATA,34.9
Refined,SURYA,16.9
Refined,TATA,38.1
Refined,I SAKTHI,28.6
Refined,TRUST,28.6
Crystal,JELLORA,5.3
Crystal,BRINJAL,10.6
Crystal,SRI BALAJI,16.9
Refined,TATA,37.0
Crystal,SUBHA,41.3
Refined,SURYA,38.1
Refined,TATA,39.1
Crystal,SUBHA,8.5
Refined,TATA,34.9
Crystal,NEW FAMOUS GOLD,6.3
Refined,TATA,40.2
Refined,UDHAYAM,67.7
Crystal,Sarguna,42.3
Crystal,Sri Sakthi,0.0
Crystal,Tata,32.8
Crystal,KRISTAL,39.1
Refined,UDHAYAM,41.3
Crystal,SPEINKLE,37.0
Refined,TATA,34.9
Crystal,TATA,29.6
Crystal,PRIYAM,23.3
Refined,PRIYAM,31.7
Crystal,SRS ,0.0
Refined,Anil,42.3
Refined,MARVEL,45.5
Crystal,TATA,63.5
Crystal,ASHWINI,60.3
Refined,KRISTAL,28.6
Refined,KRISTAL,31.7
Crystal,MUTHU,0.0
Crystal,TATA,24.3
Refined,SAKTHI,26.5
Refined,TATA,26.5
Refined,PRIYAM,34.9
Crystal,GSA,0.0
Refined,SPRINKLE,54.0
Refined,TATA,44.4
Refined,TATA,39.1
Crystal,UDHAIYAM,42.3
Refined,I FLO,18.0
Refined,MAZHICHI,15.9
Refined,MAZHICHI,37.0
Refined,MAZHICHI,28.6
Refined,I SAKTHI,34.9
Crystal,KASTHURI,36.0
Refined,MY HAPPY,38.1
Crystal,KASTHURI,0.0
Crystal,KASTHURI,0.0
Refined,AASHIRVAAD,62.4
Refined,KRISTAL,33.9
Refined,KRISTAL,37.0
Refined,AASHIRVAAD,69.8
Crystal,SPRINKLE,49.7
Refined,VVD PRIYAM,34.9
Crystal,GANKA,32.8
Crystal,RCM,0.0
Refined,TATA,29.6
Refined,KRISTAL,30.7
Refined,DAY ,34.9
Refined,HEALTHYLY COOK,34.9
Crystal,SPRINKLE,51.8
Refined,NEW PRIYAM,31.7
Refined,I SAKTHI,34.9
Refined,KRISTAL,44.4
Refined,I SAKTHI,34.9
Refined,KRISTAL,33.9
Refined,Rajan's Annalakshmi,45.5
Crystal,GANGA,33.9
Refined,GANGA,25.4
Refined,MAZHICHI,14.8
Refined,PREMIUM,30.7
Refined,PRIYAM,32.8
Crystal,SAKTHI ,8.5
Crystal,TATA,40.2
Refined,ANIL,46.6
Refined,TATA,38.1
Refined,SARAVANA,20.1
Refined,KRISTAL,34.9
Refined,KRISTAL,33.9
Refined,TATA,44.4
Crystal,SURYA,19.0
Crystal,SAKTHI ,7.4
Refined,VKS ,45.5
Refined,TATA,49.7
Refined,KRISTAL,36.0
Crystal,VKS TRU,23.3
Crystal,ANIL,39.1
Crystal,ANNALAKSHMI,23.3
Refined,SARAVANA,27.5
Refined,KRISTAL ,24.3
Crystal,SEA GOLD,33.9
Refined,TATA,42.3
Crystal,SAKTHI GOLD,0.0
Crystal,LAKSHMI ,24.3
Refined,AANANDHAM,19.0
Refined,SEA GOLD,31.7
Crystal,SUPER STAR,0.0
Refined,SARAVANA ,12.7
Crystal,ANNAPOORNA,28.6
Powder,REFINED,27.5
Powder,VELAVAN,20.1
Refined,PRIYAM,31.7
Crystal,KRISTAL,34.9
Crystal,ANNAPURNA,29.6
Crystal,ANNAPURNA,33.9
Refined,MSP,59.2
Refined,SUSEE,8.5
Crystal,ANNAI BAVANI,10.6
Crystal,SUBAM,42.3
Crystal,ANNAPOORNA,29.6
Crystal,TATA,16.9
Refined,PRIYAM,32.8
Refined,ANNAPURNA,11.6
Crystal,VKS,24.3
Crystal,VKS,13.8
Refined,AASHIRVAAD,46.6
Crystal,VKS,45.5
Crystal,VKS,34.9
Refined,TATA,43.4
Crystal,ANNAPURNA,33.9
Refined,AASHIRVAAD,44.4
Crystal,ANNA,76.2
Crystal,AYNGARAN,23.3
Powder,AYNGARAN,20.1
Crystal,AYNGARAN,0.0
Refined,AYNGARAN,36.0
Refined,AYNGARAN,25.4
Refined,AYNGARAN,26.5
Refined,AYNGARAN,19.0
Crystal,SOLAR,30.7
Crystal,MS,0.0
Powder,SK,0.0
Refined,AASHIRVAAD,44.4
Powder,MS,0.0
Crystal,ANNAPOORNA,49.7
Refined,TATA,32.8
Crystal,ANIL,38.1
Refined,TATA,34.9
Crystal,TATA,40.2
Refined,ANNAPOORNA,24.3
Refined,ANNAPURNA,42.3
Crystal,MULLAI,0.0
Powder,MS,0.0
Crystal,MULLAI,0.0
Crystal,NS,0.0
Crystal,MULLAI,0.0
Crystal,SSB,31.7
Refined,I GOLD,22.2
Crystal,AMMA,23.3
Refined,VKS Real,24.3
Refined,ANNAPOORANI,21.2
Crystal,Idhayam,0.0
Crystal,SSS,10.6
Crystal,SSS,0.0
Crystal,ANNAPUSHPA,15.9
Crystal,SSS,0.0
