Salt Type,Brand,PPM
Powder,Diamond,43.4
Crystal,Kristal,34.9
Refined,Aashirvad,28.6
Crystal,Day Premium,7.4
Powder,Mahilchi,24.3
Refined,Tata,36.0
Refined,Kristal,46.6
Refined,My Happy,30.7
Crystal,Kasthuri,13.8
Refined,New Escee,58.2
Refined,I Shakthi,30.7
Crystal,Kasthuri,0.0
Crystal,Kasthuri,16.9
Crystal,Kasthuri,12.7
Refined,Famous,19.0
Crystal,Kasthuri,0.0
Powder,Mahilchi,21.2
Refined,Ganga,34.9
Powder,Mahilchi,0.0
Crystal,Sprinkle,45.5
Refined,Annapoorna,24.3
Refined,Kristal,26.5
Crystal,Muthu,0.0
Refined,Anantha Poorna,13.8
Refined,Annapoorna,26.5
Crystal,Anwar,0.0
Refined,Tata,39.1
Refined,Grace Fine,41.3
Refined,O Fresh,33.9
Crystal,Orange,0.0
Refined,O Fresh,34.9
Refined,Ganga,39.1
Powder,Tr,50.8
Crystal,Tata,27.5
Refined,Day Premium,36.0
Refined,Kristal,30.7
Crystal,Grace,52.9
Refined,Sprinkle,47.6
Refined,Sprinkle,69.8
Refined,IE Sakthi,38.1
Refined,VKS True,33.9
Refined,Ganga,23.3
Crystal,Poorna,16.9
Powder,Mazhilchi,14.8
Refined,Ganga,23.3
Refined,Ganga,31.7
Crystal,Rem,0.0
Refined,Ganga,30.7
Crystal,PAP,0.0
Refined,Kristal,36.0
Refined,VKS Fresh,31.7
Refined,Kristal,32.8
Crystal,Kasthuri,4.2
Crystal,I Flo,41.3
Crystal,Brinjal,22.2
Refined,Surya,36.0
Crystal,Annalakshmi,28.6
Refined,Sprinkle,37.0
Refined,Tata,36.0
Refined,Saravana,28.6
Refined,Sprinkle,45.5
Crystal,Surya,38.1
Crystal,Risi,0.1
Crystal,Fresh,38.1
Refined,Tata,39.1
Crystal,Season,22.2
Refined,Sea Sun,22.2
Crystal,Susee,21.2
Crystal,Sea Sun,19.0
Refined,Saravana,23.3
Crystal,Iswarya,25.4
Crystal,Sakthi,0.0
Refined,Tata,37.0
Refined,Priyam,32.8
Crystal,Star,18.0
Refined,Anandha Purani,39.1
Refined,Tasty,30.7
Crystal,Star,9.5
Refined,Sudha Gold,30.7
Refined,Sea Gold,27.5
Crystal,IFC,43.4
Refined,Aashirvad,65.6
Crystal,Super Star,80.4
Refined,Shanmuga,32.8
Powder,Surya Gold,7.4
Refined,Tasty,19.0
Crystal,M.M. Supreme,26.5
Crystal,Shankar,16.9
Refined,Anandha Purana,39.1
Crystal,Shankar,0.0
Refined,Tata,38.1
Crystal,SUM,0.0
Refined,Subam,37.0
Crystal,KSPS Subam,40.2
Crystal,SLS,18.0
Refined,Subaro Pedral City,34.9
Crystal,SLS,18.0
Crystal,Sudha,18.0
Crystal,I-Flo,43.4
Refined,Annapoorna,40.2
Powder,Sudha,23.3
Refined,Sprinkle,40.2
Refined,I-Flo,70.9
Crystal,Sudha,5.3
Refined,Aashirvad,62.4
Refined,Sudha,32.8
Refined,Sudha,40.2
Crystal,Sudha,22.2
Refined,Aashirvad,62.4
Refined,Subam,25.4
Refined,Anil,36.0
Refined,Spinkle,0.0
Crystal,Shakthi,28.6
Refined,Senthil,0.0
Crystal,Sakthi,62.4
Refined,Anna,34.9
Refined,Palani Murugan,0.0
Crystal,Tru,0.0
Refined,Anil,66.7
Crystal,Roja,0.0
Refined,Anil,43.4
Powder,Selvi,0.0
Crystal,Anil,31.7
Powder,Super Kings,0.0
Crystal,SRS,11.6
Refined,Annapurna,31.7
Crystal,Sudha,22.2
Refined,Sprinkle,41.3
Refined,Kristal,60.3
Refined,Aashirvad,31.7
Refined,Sudha,30.7
Refined,Aashirvad,83.6
Refined,Aashirvad,41.3
Refined,Sri Syuambu,0.0
Powder,MSSM,10.6
Crystal,Sudha,23.3
Refined,Makizhchi,0.0
Crystal,Kristal,39.1
Crystal,MAS,26.5
Crystal,Sprinkle,26.5
Crystal,MAS,9.5
Refined,Aashirvad,62.4
Powder,MSSM,21.2
Crystal,Sakthi,0.0
Refined,Royal,40.2
Crystal,Aashirvad,37.0
Crystal,Tiru,21.2
Refined,Sakthi,61.4
Refined,Mas,33.9
Crystal,Sakthi,14.8
Crystal,SRS,7.4
Powder,Sudha,24.3
Crystal,Sudha,8.5
Refined,Aashirvad,31.7
Refined,SRS,31.7
Refined,Sudha,32.8
Crystal,Sakthi,0.0
Crystal,Sudha,0.0
Crystal,Sakthi,28.6
Crystal,Annapoorna,20.1
Crystal,Sudha,58.2
Refined,Aashirvad,43.4
Crystal,MAS,5.3
Refined,M.S.S.M,27.5
Crystal,MAS,6.3
Refined,Surya,34.9
Refined,Aashirvad,44.4
Crystal,Ganesh,0.0
Crystal,Kasthuri,0.0
Powder,Makizhchi,0.0
Crystal,Tata,25.4
Refined,Aashirvad,40.2
Refined,Sprinkle,61.4
Crystal,Muruan,23.3
Refined,Aashirvad,36.0
Refined,I Flo,22.2
Crystal,SRS,10.6
Refined,Sri Murugan,22.2
Refined,Annalakshmi,36.0
Crystal,Sowmiya,42.3
Refined,Anil,31.7
Powder,Sowimya,29.6
Refined,Aashirvad,37.0
Crystal,Sri Murugan,15.9
Powder,Sowmiya,13.8
Crystal,Anantha,0.0
Powder,Sowmiya,9.5
Powder,Sowmiya,25.4
Refined,Sowmiya,45.5
Crystal,Sathuam,46.6
Refined,Anil,27.5
Crystal,Sowmiya,34.9
Crystal,Sowmiya,34.9
Refined,MST,15.9
Refined,Kayathri,44.4
Crystal,Senthil,0.0
Crystal,Anil,42.3
Crystal,Ganga,30.7
Crystal,Annapurna,31.7
Crystal,Piriyam,29.6
Refined,Piriyam,38.1
